text,label
"Hôtel magnifique, chambre propre et personnel très accueillant!",2
"Voyage catastrophique, tout était désorganisé",0
"Séjour correct, rien d'exceptionnel",1
"Meilleure expérience de voyage de ma vie, je recommande!",2
"Réservation annulée sans prévenir, scandaleux",0
"Hôtel dans la moyenne, correct pour le prix",1
"Vue incroyable depuis la chambre, je suis ravi!",2
"Service horrible, personnel impoli et chambre sale",0
"Événement correct, ni bien ni mal",1
"Vacances parfaites, tout était impeccable!",2
"Arnaque totale, photos mensongères sur le site",0
"Séjour passable, peut mieux faire",1
"Personnel chaleureux, hôtel propre, très satisfait!",2
"Chambre minuscule et bruyante, très déçu",0
"Correct sans être extraordinaire",1
"Expérience inoubliable, je reviendrai certainement!",2
"Réservation perdue à l'arrivée, cauchemar",0
"Événement bien organisé, sans plus",1
"Piscine magnifique, restaurant excellent, parfait!",2
"Nourriture immangeable, chambre sale, déplorable",0
"Hôtel moyen, rien à signaler",1
"Voyage de rêve, tout était parfait du début à la fin!",2
"Très mauvaise expérience, je ne reviendrai jamais",0
"Séjour dans la moyenne, acceptable",1
"Guide touristique fantastique, visite enrichissante!",2
"Événement annulé sans remboursement, scandaleux",0
"Ni bien ni mal, juste correct",1
"Hôtel de luxe à prix raisonnable, je suis bluffé!",2
"Chambre non nettoyée, service catastrophique",0
"Voyage correct, sans enthousiasme",1
"Accueil chaleureux, chambre spacieuse, excellent séjour!",2
"Retard de 3 heures sans explication, inacceptable",0
"Restaurant de l'hôtel correct, sans plus",1
"Excursion magnifique, guide très professionnel!",2
"Hôtel rien à voir avec les photos, je suis furieux",0
"Séjour satisfaisant mais peut être amélioré",1
"Vue sur mer exceptionnelle, personnel aux petits soins!",2
"Climatisation cassée, aucune solution proposée, nul",0
"Événement bien mais pas mémorable",1
"Vacances inoubliables, je recommande à tout le monde!",2
"Très déçu, qualité médiocre pour le prix payé",0
"Hôtel passable, rien d'exceptionnel",1
"Superbe hôtel, piscine magnifique, je suis ravi!",2
"Personnel désagréable, chambre décevante",0
"Séjour moyen, on a vu mieux",1
"Expérience 5 étoiles, tout était parfait!",2
"Réservation impossible à modifier, service client nul",0
"Correct pour un court séjour",1
"Destination magnifique, hôtel exceptionnel!",2
"Voyage gâché par une mauvaise organisation",0
"Événement sympa sans être extraordinaire",1
"Personnel adorable, chambre propre, très bon séjour!",2
"Hôtel bruyant, nuits catastrophiques",0
"Dans la moyenne, rien de remarquable",1
"Meilleur hôtel où j'ai séjourné, incroyable!",2
"Arnaque, ne correspond pas à la description",0
"Séjour correct, rapport qualité prix acceptable",1
"Vacances parfaites, souvenirs inoubliables!",2
"Très mauvais accueil, je suis très déçu",0
"Hôtel correct, ni bien ni mal",1
"Fantastique! Je reviendrai sans hésiter!",2
"Service lamentable, chambre sale, à éviter",0
"Expérience normale, sans surprise",1
"Voyage extraordinaire, tout était au top!",2
"Personnel incompétent, problèmes non résolus",0
"Séjour satisfaisant dans l'ensemble",1
"Hôtel splendide, je suis vraiment impressionné!",2
"Nuit horrible, bruit insupportable",0
"Correct pour le prix, sans plus",1
"Excursion parfaite, guide passionné, je recommande!",2
"Chambre froide, chauffage en panne, inacceptable",0
"Événement bien organisé, public satisfait",1
"Meilleure destination que j'ai visitée!",2
"Remboursement refusé, service client inexistant",0
"Séjour moyen, conforme aux attentes",1
"Hôtel magnifique, personnel exceptionnel, parfait!",2
"Très décevant, rien ne fonctionnait correctement",0
"Correct, rien à redire ni à féliciter",1